subject_id,cohort,group,pct_periphery,pct_center,center_entries,total_distance_px,mean_speed_px_s,spatial_entropy,pct_freeze,freeze_bout_count,rear_count,rear_total_s,rear_pct,rear_mean_bout_s,rear_rate_per_min,rear_early_frac,groom_count,groom_total_s,groom_pct,groom_mean_bout_s,groom_bout_cv,groom_early_frac,rear_groom_ratio,rear_per_100px,comfort_ratio,pc1_score,pc2_score,rear_count_center,rear_count_wall,rear_center_frac,rear_total_s_center,rear_total_s_wall,rear_center_minus_wall
MA7_3,MA7,Aspartame+Grapefruit,62.82,37.18,14.0,6608.7,37.6,0.7929,9.78,21.0,15.0,16.42,9.3,1.094666666666667,5.096262740656852,0.5639464068209501,8.0,5.04,2.85,0.63,0.4614791034954486,0.3253968253968254,3.2579365079365084,0.2269735348858323,0.1355567509413663,0.38165001303973,-2.5687036128115794,1,14,0.0667,0.63,15.79,-13
MA8_1,MA8,Aspartame+Grapefruit,99.78,0.22,0.0,2747.7,15.44,0.23,10.55,29.0,33.0,68.9,38.53,2.087878787878788,11.073825503355703,0.409288824383164,9.0,8.2,4.59,0.911111111111111,0.6389662047611663,0.1865853658536585,8.402439024390246,1.2010044764712304,37.27272727272727,0.004107812498817,8.743949303220067,0,33,0.0,0.0,68.9,-33
MA8_2,MA8,Aspartame+Grapefruit,79.89,20.11,16.0,6636.9,37.4,0.7163,0.88,3.0,21.0,29.48,16.6,1.403809523809524,7.094594594594595,0.3507462686567164,9.0,13.59,7.65,1.51,1.3733381335459076,0.1493745401030169,2.169242089771892,0.3164127830764363,0.6757831924415714,-0.3463736822261753,-0.4456992130120416,1,20,0.0476,0.37,29.11,-19
MA8_3,MA8,Aspartame+Grapefruit,85.44,14.56,19.0,6090.1,34.66,0.5791,0.96,3.0,23.0,44.14,24.99,1.9191304347826084,7.814269535673839,0.5043044857272316,6.0,3.77,2.13,0.6283333333333333,0.3411454086273931,0.416445623342175,11.708222811671089,0.377662107354559,0.2589285714285714,-2.9570116700358318,0.9086047811532242,4,19,0.1739,5.97,38.17,-15
MA8_4,MA8,Aspartame+Grapefruit,81.69,18.31,19.0,8106.0,46.84,0.7673,2.27,7.0,20.0,35.9,20.73,1.795,6.928406466512703,0.4844011142061282,9.0,8.17,4.72,0.9077777777777778,0.8775898829764767,0.1872705018359853,4.394124847001224,0.2467308166790032,0.446204259967231,-1.861287036950935,-0.5884260402148749,1,19,0.05,0.7,35.2,-18
MA8_5,MA8,Aspartame+Grapefruit,93.47,6.53,6.0,4925.1,28.75,0.6424,7.54,16.0,15.0,27.27,15.91,1.818,5.250875145857643,0.5647231389805647,19.0,24.5,14.29,1.2894736842105263,1.085228677652242,0.3726530612244898,1.113061224489796,0.3045623439117987,3.751914241960184,1.7939692992403402,0.3329989122635065,1,14,0.0667,0.87,26.4,-13
MA1_1,MA1,Control,9.91,90.09,6.0,3007.8,16.99,0.306,24.72,40.0,7.0,4.59,2.58,0.6557142857142857,2.363534046145189,0.8845315904139432,5.0,7.25,4.08,1.45,0.794032439427545,0.1972413793103448,0.6331034482758621,0.2327282399095684,0.0804750804750804,6.108050958934944,-3.974086350429247,1,6,0.1429,0.53,4.06,-5
MA1_2,MA1,Control,95.55,4.45,8.0,3956.4,23.73,0.4875,22.02,39.0,14.0,21.2,12.55,1.514285714285714,4.97335701598579,0.9811320754716982,11.0,44.44,26.31,4.04,1.7088600842683093,0.1523402340234023,0.477047704770477,0.3538570417551309,9.986516853932583,6.5427970326541605,1.9497343114510084,1,13,0.0714,0.4,20.8,-12
MA1_3,MA1,Control,74.22,25.78,16.0,6384.3,38.64,0.7448,8.95,21.0,19.0,36.85,21.75,1.9394736842105265,6.729634002361275,0.7720488466757124,6.0,15.98,9.43,2.6633333333333336,0.870861355930962,0.0250312891113892,2.3060075093867334,0.2976050624187459,0.6198603568657874,0.8132730554313848,0.1904932521710284,5,14,0.2632,6.07,30.78,-9
MA2_1,MA2,Control,66.6,33.4,14.0,7263.0,42.82,0.6835,0.0,0.0,15.0,27.51,16.0,1.834,5.235602094240837,0.410759723736823,19.0,22.66,13.18,1.1926315789473685,0.6657903269063051,0.4249779346866726,1.2140335392762578,0.2065262288310615,0.6784431137724551,-0.4359627023285283,-2.005701480663373,2,13,0.1333,3.84,23.67,-11
MA2_2,MA2,Control,75.4,24.6,23.0,7515.0,45.8,0.7676,2.24,7.0,24.0,39.36,23.41,1.64,8.561236623067778,0.6105182926829269,9.0,6.93,4.12,0.77,0.5740135679971538,0.2597402597402597,5.67965367965368,0.3193612774451098,0.2817073170731707,-2.4757169259512497,-0.2050976978111683,3,20,0.1304,4.06,34.9,-17
MA5_1,MA5,Grapefruit,96.91,3.09,6.0,2965.3,16.54,0.5532,23.98,50.0,12.0,15.77,8.79,1.3141666666666667,4.015616285554936,0.8306911857958147,16.0,73.07,40.75,4.566875,1.2766875488161376,0.0762282742575612,0.2158204461475298,0.40468080801268,23.64724919093851,8.792572422019736,2.718686440282878,0,12,0.0,0.0,15.77,-12
MA5_2,MA5,Grapefruit,90.52,9.48,6.0,7033.9,39.56,0.8233,2.83,7.0,22.0,45.91,25.82,2.086818181818181,7.424071991001124,0.6083641908081029,21.0,24.39,13.72,1.1614285714285717,0.9567561418432392,0.2816728167281672,1.8823288232882327,0.3127710089708412,2.5727848101265822,-0.7474323592255353,1.1351106533015964,0,22,0.0,0.0,45.91,-22
MA5_3,MA5,Grapefruit,91.61,8.39,6.0,7882.0,44.77,0.7787,2.24,7.0,22.0,46.8,26.46,2.127272727272727,7.46184284906727,0.3549145299145299,13.0,12.12,6.85,0.9323076923076924,0.9871676904228596,0.4587458745874587,3.861386138613861,0.2791169753869576,1.444576877234803,-2.2402372220399944,0.7672667761705376,2,20,0.0909,1.6,45.2,-18
MA6_1,MA6,Grapefruit,95.44,4.56,6.0,9518.6,56.46,0.7909,4.31,10.0,29.0,48.46,28.61,1.671034482758621,10.271546635182998,0.5994634750309533,11.0,9.97,5.89,0.9063636363636364,0.5508373625706801,0.4914744232698093,4.860581745235707,0.3046666526590044,2.1864035087719302,-3.3281106698987792,1.569676367597457,0,29,0.0,0.0,48.46,-29
MA6_2,MA6,Grapefruit,58.08,41.92,32.0,8027.8,45.73,0.7983,2.12,6.0,22.0,42.61,24.18,1.9368181818181816,7.491486946651533,0.3578972072283501,13.0,11.3,6.41,0.8692307692307693,0.7839709079583383,0.5194690265486724,3.770796460176991,0.2740476842970676,0.2695610687022901,-2.783413211952874,-1.6526873611251245,5,17,0.2273,7.01,35.6,-12
MA6_3,MA6,Grapefruit,86.65,13.35,14.0,7256.8,40.92,0.7772,5.51,15.0,25.0,45.9,25.8,1.836,8.431703204047217,0.3021786492374728,18.0,16.57,9.31,0.9205555555555552,0.607319538443462,0.1025950512975256,2.7700663850331924,0.3445044647778635,1.2411985018726592,-1.5283744669998012,1.0167227540709696,3,22,0.12,2.93,42.97,-19
MA6_4,MA6,Grapefruit,93.05,6.95,10.0,6549.9,37.26,0.6804,3.74,10.0,23.0,31.7,17.96,1.3782608695652174,7.818696883852691,0.5022082018927444,14.0,16.92,9.59,1.2085714285714286,0.679148737025092,0.1808510638297872,1.8735224586288413,0.3511503992427365,2.43453237410072,-0.2401343938621569,0.7025802914894191,0,23,0.0,0.0,31.7,-23
MA6_5,MA6,Grapefruit,79.62,20.38,24.0,8003.3,45.52,0.7728,1.36,4.0,19.0,45.63,25.95,2.4015789473684213,6.484641638225256,0.5616918693841769,13.0,10.46,5.95,0.8046153846153845,0.6985512528539797,0.3279158699808795,4.362332695984703,0.2374020716454462,0.5132482826300295,-2.5550891217249334,-0.5248866169864681,2,17,0.1053,4.23,41.4,-15
